# Data from Climate change and the world economy: short-run determinants of atmospheric CO2. J.A. Tapia Granadosa, E. L.Ionides, O. Carpintero. Environmental Science and Policy (2012)
# CO2: Mean annual concentrations of atmospheric CO2 (in parts per million by volume) at Mauna Loa observatory
# GDP: World gross domestic product from World Development Indicators database (data.worldbank.org/data-catalog/world-development-indicators) of the World Bank
# Pop: World population from World Development Indicators database (data.worldbank.org/data-catalog/world-development-indicators) of the World Bank
# ENSO: El Nino Southern Oscillation index from NOAA sources (www.esrl.noaa.gov/psd/people/klaus.wolter/MEI/table.html)
# Emissions: estimated emissions of CO2 (million Kt) from World Development Indicators database (data.worldbank.org/data-catalog/world-development-indicators) of the World Bank
Year	CO2	GDP	Pop	ENSO	Volcanic	Emissions
1958	NA	NA	NA	0.9054	0.0042	NA
1959	315.97	NA	NA	0.2698	0.0027	NA
1960	316.91	7.23	3027	-0.2568	0.0024	NA
1961	317.64	7.54	3069	-0.2322	0.0024	9.5
1962	318.45	7.97	3123	-0.7650	0.0024	9.8
1963	318.99	8.38	3189	-0.1629	1.8454	10.4
1964	319.62	8.95	3255	-0.4784	2.1758	11.0
1965	320.04	9.45	3323	0.3252	0.9864	11.5
1966	321.38	10.03	3393	0.5084	0.3699	12.1
1967	322.16	10.49	3464	-0.5792	0.1407	12.4
1968	323.04	11.15	3535	-0.4543	0.4533	13.1
1969	324.62	11.82	3610	0.5253	0.9221	13.9
1970	325.68	12.22	3685	-0.2906	0.4194	14.9
1971	326.32	12.72	3763	-1.4293	0.1606	15.4
1972	327.45	13.46	3838	0.3973	0.0750	16.0
1973	329.68	14.34	3913	0.0973	0.0277	16.9
1974	330.18	14.56	3989	-1.2804	0.0506	17.0
1975	331.08	14.71	4063	-1.1957	0.6838	16.9
1976	332.05	15.46	4135	-0.4975	0.3900	17.8
1977	333.78	16.10	4208	0.5550	0.1559	18.4
1978	335.41	16.81	4282	0.2286	0.0661	18.7
1979	336.78	17.51	4358	0.4198	0.0259	19.7
1980	338.68	17.84	4434	0.6622	0.0095	19.5
1981	340.10	18.19	4512	0.1056	0.0036	18.9
1982	341.44	18.26	4592	0.6713	1.8349	18.7
1983	343.03	18.72	4673	2.0261	2.1286	18.7
1984	344.58	19.58	4753	-0.1022	0.9159	19.4
1985	346.04	20.31	4835	-0.4503	0.3478	20.0
1986	347.39	20.99	4920	0.2498	0.1288	20.6
1987	349.16	21.72	5008	1.6098	0.0474	21.1
1988	351.56	22.73	5096	-0.0918	0.0174	21.9
1989	353.07	23.59	5184	-0.7934	0.0064	22.3
1990	354.35	24.28	5272	0.3286	0.0028	22.6
1991	355.57	24.67	5358	0.6473	1.6570	22.9
1992	356.38	25.18	5439	1.4125	3.6511	22.7
1993	357.07	25.63	5520	1.0715	1.6602	22.6
1994	358.82	26.48	5601	0.6323	0.6372	23.0
1995	360.80	27.24	5683	0.4887	0.2508	23.5
1996	362.59	28.16	5762	-0.3978	0.0923	24.0
1997	363.71	29.24	5843	1.0968	0.0339	24.4
1998	366.65	29.93	5922	1.4242	0.0125	24.3
1999	368.33	30.92	6001	-0.9268	0.0046	24.1
2000	369.52	32.25	6080	-0.6163	0.0000	24.8
2001	371.13	32.79	6157	-0.2561	0.0000	25.4
2002	373.22	33.44	6233	0.3815	0.0000	25.6
2003	375.77	34.33	6308	0.5588	0.0000	27.1
2004	377.49	35.74	6383	0.3588	0.0000	28.5
2005	379.80	37.01	6458	0.5155	0.0000	29.7
2006	381.90	38.50	6534	0.0297	0.0000	30.6
2007	383.77	40.04	6610	0.0373	0.0000	31.3
2008	385.59	40.61	6687	-0.7808	0.0000	32.1
2009	387.38	39.68	6764	0.1103	0.0000	32.1
2010	389.78	41.35	6841	0.0022	0.0000	33.5
2011	391.57	NA	NA	-1.0368	NA	NA	
